,qasrl_id,verb_idx,verb,question,answer,answer_range,verb_form,wh,aux,subj,obj,prep,obj2,is_negated,is_passive,sentence,key
551,Wiki1k:wikinews:1329850:1:0,28,school,where was someone schooled?,in the secondary school~!~Corpus Christi Catholic College,25:29~!~29:33,schooled,where,was,someone,_,_,_,False,,"The female teacher , Ann Maguire , 61 , was stabbed in front of her class of 30 while teaching a Year 11 Spanish lesson in the secondary school Corpus Christi Catholic College on the outskirts of Leeds .",Wiki1k:wikinews:1329850:1:0_28
552,Wiki1k:wikinews:1329850:1:0,28,school,where was someone schooled?,Leeds,37:38,schooled,where,was,someone,_,_,_,False,,"The female teacher , Ann Maguire , 61 , was stabbed in front of her class of 30 while teaching a Year 11 Spanish lesson in the secondary school Corpus Christi Catholic College on the outskirts of Leeds .",Wiki1k:wikinews:1329850:1:0_28
750,Wiki1k:wikinews:1842580:0:3,4,police,who polices?,A member of the police,0:5,polices,who,_,_,_,_,_,False,,A member of the police said after leaving the scene the attackers drove to the northeastern suburbs of Paris where they abandoned their vehicle and hijacked another car .,Wiki1k:wikinews:1842580:0:3_4
752,Wiki1k:wikinews:1842580:0:3,4,police,who polices?,the attackers,10:12,polices,who,_,_,_,_,_,False,,A member of the police said after leaving the scene the attackers drove to the northeastern suburbs of Paris where they abandoned their vehicle and hijacked another car .,Wiki1k:wikinews:1842580:0:3_4
760,Wiki1k:wikinews:1823406:11:0,19,speed,how did something speed?,"ascending through 36,000 ft",12:16,speed,how,did,something,_,_,_,False,,"A screenshot apparently leaked from an ATC radar screen shows the flight ascending through 36,000 ft with a ground speed of 353knts .",Wiki1k:wikinews:1823406:11:0_19
761,Wiki1k:wikinews:1823406:11:0,19,speed,how did something speed?,with a ground speed of 353knts,16:22,speed,how,did,something,_,_,_,False,,"A screenshot apparently leaked from an ATC radar screen shows the flight ascending through 36,000 ft with a ground speed of 353knts .",Wiki1k:wikinews:1823406:11:0_19
902,Wiki1k:wikinews:518237:4:0,18,respect,who did someone respect?,I,15:16,respect,who,did,someone,_,_,_,False,,"Following the game , Australia 's Amber Merritt said of playing Canada , `` I have the utmost respect for Canada .",Wiki1k:wikinews:518237:4:0_18
903,Wiki1k:wikinews:518237:4:0,18,respect,who did someone respect?,Canada,11:12,respect,who,did,someone,_,_,_,False,,"Following the game , Australia 's Amber Merritt said of playing Canada , `` I have the utmost respect for Canada .",Wiki1k:wikinews:518237:4:0_18
906,Wiki1k:wikinews:593259:3:2,3,command,when did someone command something?,after in a change of command ceremony,7:14,command,when,did,someone,something,_,_,False,,Ford was passed command of the ISS after in a change of command ceremony on Saturday .,Wiki1k:wikinews:593259:3:2_3
907,Wiki1k:wikinews:593259:3:2,3,command,when did someone command something?,on Saturday,14:16,command,when,did,someone,something,_,_,False,,Ford was passed command of the ISS after in a change of command ceremony on Saturday .,Wiki1k:wikinews:593259:3:2_3
963,Wiki1k:wikinews:635750:0:0,12,bus,where was someone bussed?,school bus,11:13,bussed,where,was,someone,_,_,_,False,,"In October , Yousafzai was shot by Taliban forces on a school bus in Mingora , Swat District , Pakistan .",Wiki1k:wikinews:635750:0:0_12
964,Wiki1k:wikinews:635750:0:0,12,bus,where was someone bussed?,"Mingora, Swat District, Pakistan",14:20,bussed,where,was,someone,_,_,_,False,,"In October , Yousafzai was shot by Taliban forces on a school bus in Mingora , Swat District , Pakistan .",Wiki1k:wikinews:635750:0:0_12
968,Wiki1k:wikinews:614764:0:1,1,relation,what was something related to?,complaints about alleged events,3:7,related,what,was,something,_,to,_,False,,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1_1
971,Wiki1k:wikinews:614764:0:1,1,relation,what was something related to?,Hall was charged with three counts of indecent assault after being arrested Wednesday,22:35,related,what,was,something,_,to,_,False,,"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1_1
1085,Wiki1k:wikinews:2171912:0:0,20,murder,who was murdered?,59-year-old Francis John Wark,11:19,murdered,who,was,_,_,_,_,False,,Police in Western Australia revealed Monday they have reason to believe 59-year-old Francis John Wark was involved in the alleged murder of Hayley Marie Dodd .,Wiki1k:wikinews:2171912:0:0_20
1086,Wiki1k:wikinews:2171912:0:0,20,murder,who was murdered?,Hayley Marie Dodd,26:29,murdered,who,was,_,_,_,_,False,,Police in Western Australia revealed Monday they have reason to believe 59-year-old Francis John Wark was involved in the alleged murder of Hayley Marie Dodd .,Wiki1k:wikinews:2171912:0:0_20
1092,Wiki1k:wikinews:1987211:0:1,15,diagnosis,what was someone diagnosed with?,a rare form of Alzheimer's,4:10,diagnosed,what,was,someone,_,with,_,False,,"Pratchett was diagnosed with a rare form of Alzheimer 's in 2007 , following his diagnosis he donated to Alzheimer 's charities and became a public face of the disease",Wiki1k:wikinews:1987211:0:1_15
1094,Wiki1k:wikinews:1987211:0:1,15,diagnosis,what was someone diagnosed with?,he donated to Alzheimer's charities,16:22,diagnosed,what,was,someone,_,with,_,False,,"Pratchett was diagnosed with a rare form of Alzheimer 's in 2007 , following his diagnosis he donated to Alzheimer 's charities and became a public face of the disease",Wiki1k:wikinews:1987211:0:1_15
1105,Wiki1k:wikinews:1823406:3:4,0,Searches,when is something searched?,presently,2:3,searched,when,is,something,_,_,_,False,,Searches are presently suspended until morning .,Wiki1k:wikinews:1823406:3:4_0
1107,Wiki1k:wikinews:1823406:3:4,0,Searches,when is something searched?,until morning,4:6,searched,when,is,something,_,_,_,False,,Searches are presently suspended until morning .,Wiki1k:wikinews:1823406:3:4_0
1133,Wiki1k:wikinews:614764:2:1,13,trial,where will someone tried?,Stating Hall,0:2,tried,where,will,someone,_,_,_,False,,"Stating Hall was innocent , Straw explained : `` There will be a trial and his defence will then be in the public domain . ''",Wiki1k:wikinews:614764:2:1_13
1135,Wiki1k:wikinews:614764:2:1,13,trial,where will someone tried?,in the public domain,21:25,tried,where,will,someone,_,_,_,False,,"Stating Hall was innocent , Straw explained : `` There will be a trial and his defence will then be in the public domain . ''",Wiki1k:wikinews:614764:2:1_13
1169,Wiki1k:wikinews:1823406:3:0,11,Rescue,who is rescuing someone?,The Indonesian Navy~!~police forces,0:3~!~4:6,rescuing,who,is,_,someone,_,_,False,,"The Indonesian Navy , police forces , and National Search and Rescue Agency are focusing on an area 20 nautical miles from East Belitung .",Wiki1k:wikinews:1823406:3:0_11
1170,Wiki1k:wikinews:1823406:3:0,11,Rescue,who is rescuing someone?,National Search and Rescue Agency,8:13,rescuing,who,is,_,someone,_,_,False,,"The Indonesian Navy , police forces , and National Search and Rescue Agency are focusing on an area 20 nautical miles from East Belitung .",Wiki1k:wikinews:1823406:3:0_11
1322,Wiki1k:wikinews:516949:3:2,8,play,when will someone play something?,tomorrow,9:10,play,when,will,someone,something,_,_,False,,They will play their second match of pool play tomorrow when they face the Netherlands .,Wiki1k:wikinews:516949:3:2_8
1323,Wiki1k:wikinews:516949:3:2,8,play,when will someone play something?,when they face the Netherlands,10:15,play,when,will,someone,something,_,_,False,,They will play their second match of pool play tomorrow when they face the Netherlands .,Wiki1k:wikinews:516949:3:2_8
1334,Wiki1k:wikinews:593029:3:0,19,target,who was targeted?,international journalists,6:8,targeted,who,was,_,_,_,_,False,,"Though the IDF admits they knew international journalists were inside the building , a spokesperson denies they were the target saying , `` Hamas took a civilian building and used it for its own needs .",Wiki1k:wikinews:593029:3:0_19
1336,Wiki1k:wikinews:593029:3:0,19,target,who was targeted?,Hamas,24:25,targeted,who,was,_,_,_,_,False,,"Though the IDF admits they knew international journalists were inside the building , a spokesperson denies they were the target saying , `` Hamas took a civilian building and used it for its own needs .",Wiki1k:wikinews:593029:3:0_19
1495,Wiki1k:wikinews:736793:0:0,22,themes,what was themed something?,Women in League,13:16,themed,what,was,_,something,_,_,False,,"Australia 's National Rugby League ( NRL ) is to celebrate `` Women in League '' week , starting yesterday , with themes including sons , raising funds for breast cancer support , and club-related specials to encourage women to attend rugby league games .",Wiki1k:wikinews:736793:0:0_22
1497,Wiki1k:wikinews:736793:0:0,22,themes,what was themed something?,raising funds for breast cancer support~!~club-related specials to encourage women to attend rugby league games~!~sons,27:33~!~35:47~!~25:26,themed,what,was,_,something,_,_,False,,"Australia 's National Rugby League ( NRL ) is to celebrate `` Women in League '' week , starting yesterday , with themes including sons , raising funds for breast cancer support , and club-related specials to encourage women to attend rugby league games .",Wiki1k:wikinews:736793:0:0_22
1509,Wiki1k:wikinews:684866:1:1,22,ranking,how was someone ranked?,overall,21:22,ranked,how,was,someone,_,_,_,False,,"Because teammate Úrsula Pueyo had a faster time of 20.32 , Carpanedo 's time was not used in tabulating Spain 's overall ranking as only one time by a female skier was required .",Wiki1k:wikinews:684866:1:1_22
1510,Wiki1k:wikinews:684866:1:1,22,ranking,how was someone ranked?,as only one time by a female skier was required,23:33,ranked,how,was,someone,_,_,_,False,,"Because teammate Úrsula Pueyo had a faster time of 20.32 , Carpanedo 's time was not used in tabulating Spain 's overall ranking as only one time by a female skier was required .",Wiki1k:wikinews:684866:1:1_22
1528,Wiki1k:wikinews:761179:0:2,6,park,where was something parked?,below,7:8,parked,where,was,something,_,_,_,False,,Buses took viewers from the car park below to top of the dam wall .,Wiki1k:wikinews:761179:0:2_6
1529,Wiki1k:wikinews:761179:0:2,6,park,where was something parked?,to top of the dam wall,8:14,parked,where,was,something,_,_,_,False,,Buses took viewers from the car park below to top of the dam wall .,Wiki1k:wikinews:761179:0:2_6
1653,Wiki1k:wikinews:703961:1:2,31,deposit,who wouldn't deposit something?,mortgage lenders,12:14,deposit,who,wouldn't,_,something,_,_,True,,"He also offered a new Mortgage Guarantee , created in conjunction with mortgage lenders -- the scheme would allow them to offer loans to homeowners without the need for a large deposit and offer guarantees to support up to # 130bn of lending for three years beginning in 2014 .",Wiki1k:wikinews:703961:1:2_31
1655,Wiki1k:wikinews:703961:1:2,31,deposit,who wouldn't deposit something?,homeowners,24:25,deposit,who,wouldn't,_,something,_,_,True,,"He also offered a new Mortgage Guarantee , created in conjunction with mortgage lenders -- the scheme would allow them to offer loans to homeowners without the need for a large deposit and offer guarantees to support up to # 130bn of lending for three years beginning in 2014 .",Wiki1k:wikinews:703961:1:2_31
1667,Wiki1k:wikinews:686372:3:2,8,result,what resulted in something?,the Conservative Party,11:14,resulted,what,_,_,_,in,something,False,,"He said , `` It is a disappointing result for the Conservative Party , but it is clear that , in mid-term by-elections , people want to register a protest '' .",Wiki1k:wikinews:686372:3:2_8
1669,Wiki1k:wikinews:686372:3:2,8,result,what resulted in something?,people want to register a protest,29:35,resulted,what,_,_,_,in,something,False,,"He said , `` It is a disappointing result for the Conservative Party , but it is clear that , in mid-term by-elections , people want to register a protest '' .",Wiki1k:wikinews:686372:3:2_8
1695,Wiki1k:wikinews:684866:2:3,10,finish,where did someone finish?,in tenth,11:13,finish,where,did,someone,_,_,_,False,,"Her other race , the Giant Slalom , saw her finish in tenth in the women 's sitting group with a combined run time of 4:41.30 , 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary .",Wiki1k:wikinews:684866:2:3_10
1696,Wiki1k:wikinews:684866:2:3,10,finish,where did someone finish?,in the women's sitting group,13:19,finish,where,did,someone,_,_,_,False,,"Her other race , the Giant Slalom , saw her finish in tenth in the women 's sitting group with a combined run time of 4:41.30 , 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary .",Wiki1k:wikinews:684866:2:3_10
1732,Wiki1k:wikinews:679436:0:1,3,forecast,what was forecast?,winter,2:3,forecast,what,was,_,_,_,_,False,,"In its winter forecast , the European Commission stated the economy of the Eurozone , which consists of 17 countries , is projected to shrink by 0.3 % this year .",Wiki1k:wikinews:679436:0:1_3
1734,Wiki1k:wikinews:679436:0:1,3,forecast,what was forecast?,"the economy of the Eurozone, which consists of 17 countries, is projected to shrink by 0.3 % this year",9:30,forecast,what,was,_,_,_,_,False,,"In its winter forecast , the European Commission stated the economy of the Eurozone , which consists of 17 countries , is projected to shrink by 0.3 % this year .",Wiki1k:wikinews:679436:0:1_3
1799,Wiki1k:wikinews:721315:3:1,22,boycott,who might boycotted?,Members of the right wing UMP,0:6,boycotted,who,might,_,_,_,_,False,,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",Wiki1k:wikinews:721315:3:1_22
1801,Wiki1k:wikinews:721315:3:1,22,boycott,who might boycotted?,Hervé Mariton~!~UMP politician,17:19~!~15:17,boycotted,who,might,_,_,_,_,False,,"Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .",Wiki1k:wikinews:721315:3:1_22
1805,Wiki1k:wikinews:703961:6:2,10,cut,who might cut something?,Millionaires,0:1,cut,who,might,_,something,_,_,False,,"Millionaires are days away from getting a # 40,000 tax cut from the Tories , but George Osborne is using the budget to attack hard-working public sector workers .",Wiki1k:wikinews:703961:6:2_10
1807,Wiki1k:wikinews:703961:6:2,10,cut,who might cut something?,Tories,13:14,cut,who,might,_,something,_,_,False,,"Millionaires are days away from getting a # 40,000 tax cut from the Tories , but George Osborne is using the budget to attack hard-working public sector workers .",Wiki1k:wikinews:703961:6:2_10
2064,Wiki1k:wikinews:784189:2:0,13,intervention,who might intervene?,nine Liberal Democrats~!~Thirty Conservative MPs,4:7~!~0:3,intervene,who,might,_,_,_,_,False,,Thirty Conservative MPs and nine Liberal Democrats voted against their party against military intervention .,Wiki1k:wikinews:784189:2:0_13
2065,Wiki1k:wikinews:784189:2:0,13,intervention,who might intervene?,their party,9:11,intervene,who,might,_,_,_,_,False,,Thirty Conservative MPs and nine Liberal Democrats voted against their party against military intervention .,Wiki1k:wikinews:784189:2:0_13
2078,Wiki1k:wikinews:722801:2:0,22,protests,where did someone protest?,George Square~!~Glasgow,11:13~!~14:15,protest,where,did,someone,_,_,_,False,,"This follows a demonstration by around 2000 people on Saturday at George Square in Glasgow , and comes during three days of protests organised by Scrap Trident in Scotland .",Wiki1k:wikinews:722801:2:0_22
2080,Wiki1k:wikinews:722801:2:0,22,protests,where did someone protest?,Scotland,28:29,protest,where,did,someone,_,_,_,False,,"This follows a demonstration by around 2000 people on Saturday at George Square in Glasgow , and comes during three days of protests organised by Scrap Trident in Scotland .",Wiki1k:wikinews:722801:2:0_22
2085,Wiki1k:wikinews:761179:1:1,17,warming,why did something warm somewhere?,droughts become more frequent,10:14,warm,why,did,something,_,_,somewhere,False,,This is to provide water security for the city as droughts become more frequent due to global warming .,Wiki1k:wikinews:761179:1:1_17
2086,Wiki1k:wikinews:761179:1:1,17,warming,why did something warm somewhere?,global warming,16:18,warm,why,did,something,_,_,somewhere,False,,This is to provide water security for the city as droughts become more frequent due to global warming .,Wiki1k:wikinews:761179:1:1_17
2106,Wiki1k:wikinews:684866:0:0,13,run,when did someone run somewhere?,Wednesday,0:1,run,when,did,someone,_,_,somewhere,False,,"Wednesday , Spanish LW10-2 classified sit skier Nathalie Carpanedo finished her wild card run at the IPC Alpine World Championships competing as a member of the Spanish team in the international team friendly held the day after the closing ceremonies for the World Championships .",Wiki1k:wikinews:684866:0:0_13
2110,Wiki1k:wikinews:684866:0:0,13,run,when did someone run somewhere?,the day after the closing ceremonies for the World Championships,36:46,run,when,did,someone,_,_,somewhere,False,,"Wednesday , Spanish LW10-2 classified sit skier Nathalie Carpanedo finished her wild card run at the IPC Alpine World Championships competing as a member of the Spanish team in the international team friendly held the day after the closing ceremonies for the World Championships .",Wiki1k:wikinews:684866:0:0_13
2120,Wiki1k:wikinews:677990:0:0,24,competition,what did someone compete in?,the 2013 IPC World Championships,13:18,compete,what,did,someone,_,in,_,False,,"With the first day of racing completed earlier today in La Molina for the 2013 IPC World Championships , the Spanish team started the competition with a first and fifth place finish in the downhill event in the men 's visually impaired group .",Wiki1k:wikinews:677990:0:0_24
2122,Wiki1k:wikinews:677990:0:0,24,competition,what did someone compete in?,the downhill event,33:36,compete,what,did,someone,_,in,_,False,,"With the first day of racing completed earlier today in La Molina for the 2013 IPC World Championships , the Spanish team started the competition with a first and fifth place finish in the downhill event in the men 's visually impaired group .",Wiki1k:wikinews:677990:0:0_24
2126,Wiki1k:wikinews:677990:0:0,31,finish,where did someone finish in something?,La Molina,10:12,finish,where,did,someone,_,in,something,False,,"With the first day of racing completed earlier today in La Molina for the 2013 IPC World Championships , the Spanish team started the competition with a first and fifth place finish in the downhill event in the men 's visually impaired group .",Wiki1k:wikinews:677990:0:0_31
2127,Wiki1k:wikinews:677990:0:0,31,finish,what did someone finish in?,the 2013 IPC World Championships,13:18,finish,what,did,someone,_,in,_,False,,"With the first day of racing completed earlier today in La Molina for the 2013 IPC World Championships , the Spanish team started the competition with a first and fifth place finish in the downhill event in the men 's visually impaired group .",Wiki1k:wikinews:677990:0:0_31
2129,Wiki1k:wikinews:677990:0:0,31,finish,what did someone finish in?,the downhill event,33:36,finish,what,did,someone,_,in,_,False,,"With the first day of racing completed earlier today in La Molina for the 2013 IPC World Championships , the Spanish team started the competition with a first and fifth place finish in the downhill event in the men 's visually impaired group .",Wiki1k:wikinews:677990:0:0_31
2130,Wiki1k:wikinews:677990:0:0,31,finish,where did someone finish in something?,in the men's visually impaired group,36:43,finish,where,did,someone,_,in,something,False,,"With the first day of racing completed earlier today in La Molina for the 2013 IPC World Championships , the Spanish team started the competition with a first and fifth place finish in the downhill event in the men 's visually impaired group .",Wiki1k:wikinews:677990:0:0_31
2164,Wiki1k:wikinews:844279:28:3,17,evacuation,when did someone evacuate somewhere?,After Katrina,0:2,evacuate,when,did,someone,_,_,somewhere,False,,"After Katrina , when another powerful hurricane called Rita approached the same region in September 2005 , evacuation warnings were taken very seriously .",Wiki1k:wikinews:844279:28:3_17
2166,Wiki1k:wikinews:844279:28:3,17,evacuation,when did someone evacuate somewhere?,September 2005,14:16,evacuate,when,did,someone,_,_,somewhere,False,,"After Katrina , when another powerful hurricane called Rita approached the same region in September 2005 , evacuation warnings were taken very seriously .",Wiki1k:wikinews:844279:28:3_17
2167,Wiki1k:wikinews:844279:28:3,18,warnings,when was someone warned?,After Katrina,0:2,warned,when,was,someone,_,_,_,False,,"After Katrina , when another powerful hurricane called Rita approached the same region in September 2005 , evacuation warnings were taken very seriously .",Wiki1k:wikinews:844279:28:3_18
2170,Wiki1k:wikinews:844279:28:3,18,warnings,when was someone warned?,September 2005,14:16,warned,when,was,someone,_,_,_,False,,"After Katrina , when another powerful hurricane called Rita approached the same region in September 2005 , evacuation warnings were taken very seriously .",Wiki1k:wikinews:844279:28:3_18
2203,Wiki1k:wikinews:844279:31:2,17,flood,when will something flood something?,As the storm moved inland,0:5,flood,when,will,something,something,_,_,False,,"As the storm moved inland , flooding can continue for several days and all the water will flood river until it enters the Bay of Bengal .",Wiki1k:wikinews:844279:31:2_17
2206,Wiki1k:wikinews:844279:31:2,17,flood,when will something flood something?,until it enters the Bay of Bengal,19:26,flood,when,will,something,something,_,_,False,,"As the storm moved inland , flooding can continue for several days and all the water will flood river until it enters the Bay of Bengal .",Wiki1k:wikinews:844279:31:2_17
2242,Wiki1k:wikipedia:1164:62:0,1,learning,how did someone learn?,Deep learning,0:2,learn,how,did,someone,_,_,_,False,,"Deep learning often uses convolutional neural networks ( CNNs ) , whose origins can be traced back to the Neocognitron introduced by Kunihiko Fukushima in 1980 .",Wiki1k:wikipedia:1164:62:0_1
